Year,Month,Day,Unnamed: 0,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2014,5,22,141.0,0.6666666666666666,0.0,0.0,0.0,28.900000000000002,32.5,26.099999999999998,6.599999999999999,28.900000000000002
2014,5,23,142.0,18.599999999999998,12.199999999999998,17.066666666666666,18.0,27.166666666666668,30.233333333333334,23.866666666666664,4.8,28.8
2014,5,24,143.0,0.0,0.0,0.0,0.0,28.53333333333333,32.9,25.233333333333334,6.666666666666667,30.0
2014,5,25,144.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,29.400000000000002,33.03333333333333,26.599999999999998,6.033333333333334,25.066666666666666
2014,5,26,145.0,5.733333333333334,5.733333333333334,5.733333333333334,5.733333333333334,28.433333333333334,31.53333333333333,26.0,4.966666666666667,34.333333333333336
2014,5,27,146.0,3.066666666666667,2.8000000000000003,3.066666666666667,3.066666666666667,28.0,30.46666666666667,25.633333333333336,7.0,29.166666666666668
2014,5,28,147.0,6.733333333333333,4.8,6.333333333333333,6.466666666666668,28.766666666666666,32.800000000000004,25.7,7.433333333333334,25.333333333333332
2014,5,29,148.0,6.133333333333334,2.733333333333333,3.6,4.466666666666667,28.833333333333332,32.76666666666667,25.666666666666668,5.0,24.5
2014,5,30,149.0,9.933333333333334,4.6000000000000005,4.933333333333333,4.933333333333333,27.900000000000002,30.900000000000002,25.400000000000002,6.766666666666667,34.06666666666666
2014,5,31,150.0,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,29.166666666666668,31.666666666666668,25.8,7.1000000000000005,29.96666666666667
2014,6,1,151.0,8.733333333333333,7.133333333333333,7.3999999999999995,7.3999999999999995,28.433333333333334,32.0,24.96666666666667,5.833333333333333,34.800000000000004
2014,6,2,152.0,0.0,0.0,0.0,0.0,28.900000000000002,31.599999999999998,26.766666666666666,4.8,21.866666666666664
2014,6,3,153.0,1.4000000000000001,1.4000000000000001,1.4000000000000001,1.4000000000000001,29.46666666666667,32.0,27.666666666666668,7.133333333333333,25.666666666666668
2014,6,4,154.0,7.266666666666667,4.133333333333333,5.066666666666666,5.666666666666667,27.866666666666664,29.066666666666666,25.2,5.166666666666667,27.7
2014,6,5,155.0,13.533333333333333,5.6000000000000005,5.8,7.666666666666667,27.0,29.833333333333332,25.03333333333333,7.733333333333333,37.800000000000004
2014,6,6,156.0,13.133333333333333,5.933333333333334,7.866666666666667,11.733333333333334,27.366666666666664,31.099999999999998,25.2,5.933333333333334,37.06666666666667
2014,6,7,157.0,0.0,0.0,0.0,0.0,28.933333333333334,32.4,25.900000000000002,7.599999999999999,29.899999999999995
2014,6,8,158.0,0.0,0.0,0.0,0.0,30.0,33.1,27.900000000000002,7.333333333333333,28.2
2014,6,9,159.0,0.0,0.0,0.0,0.0,29.8,33.733333333333334,27.8,5.766666666666667,26.899999999999995
2014,6,10,160.0,1.5999999999999999,0.8666666666666667,1.0,1.2,29.46666666666667,33.56666666666666,26.766666666666666,5.8,29.8
2014,6,11,161.0,0.0,0.0,0.0,0.0,30.166666666666668,33.300000000000004,27.733333333333334,6.3,26.900000000000002
2014,6,12,162.0,13.333333333333334,9.933333333333334,11.0,12.133333333333335,29.2,32.93333333333333,23.166666666666668,8.1,66.36666666666666
2014,6,13,163.0,0.0,0.0,0.0,0.0,29.933333333333334,33.0,27.733333333333334,6.933333333333334,25.900000000000002
2014,6,14,164.0,16.666666666666668,14.0,15.799999999999999,16.133333333333336,27.733333333333334,30.266666666666666,23.233333333333334,5.166666666666667,45.93333333333334
2014,6,15,165.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,29.53333333333333,32.23333333333333,27.433333333333334,6.633333333333333,22.566666666666666
2014,6,16,166.0,0.0,0.0,0.0,0.0,30.266666666666666,32.96666666666667,28.46666666666667,7.633333333333333,26.400000000000002
2014,6,17,167.0,0.0,0.0,0.0,0.0,30.46666666666667,33.56666666666667,28.46666666666667,8.233333333333333,27.0
2014,6,18,168.0,8.933333333333332,5.2,7.066666666666667,8.533333333333333,28.900000000000002,32.5,23.8,8.0,46.56666666666666
2014,6,19,169.0,5.800000000000001,5.133333333333334,5.533333333333334,5.733333333333334,29.333333333333332,33.03333333333333,24.7,7.166666666666667,42.6
2014,6,20,170.0,0.0,0.0,0.0,0.0,30.5,33.8,28.5,7.966666666666666,25.2
2014,6,21,171.0,0.0,0.0,0.0,0.0,30.8,33.76666666666667,28.46666666666667,7.1000000000000005,26.266666666666666
2014,6,22,172.0,1.0666666666666667,1.0,1.0666666666666667,1.0666666666666667,30.066666666666666,33.1,27.46666666666667,7.0,27.099999999999998
2014,6,23,173.0,0.0,0.0,0.0,0.0,29.96666666666667,33.06666666666667,27.8,5.8999999999999995,24.866666666666664
2014,6,24,174.0,6.3999999999999995,3.6,3.7999999999999994,6.333333333333333,29.599999999999998,32.5,25.5,6.433333333333334,34.300000000000004
2014,6,25,175.0,10.799999999999999,9.4,10.266666666666667,10.733333333333334,28.666666666666668,31.299999999999997,24.03333333333333,7.266666666666666,35.63333333333333
2014,6,26,176.0,0.6,0.6,0.6,0.6,29.566666666666666,32.800000000000004,27.599999999999998,7.3,30.46666666666667
2014,6,27,177.0,3.8000000000000003,3.0666666666666664,3.1333333333333333,3.1333333333333333,27.766666666666666,29.7,25.46666666666667,8.1,42.0
2014,6,28,178.0,0.0,0.0,0.0,0.0,28.900000000000002,31.566666666666666,26.900000000000002,6.033333333333334,22.53333333333333
2014,6,29,179.0,7.866666666666667,7.733333333333334,7.8,7.8,29.03333333333333,31.666666666666668,25.03333333333333,4.966666666666667,35.166666666666664
2014,6,30,180.0,12.6,10.2,12.133333333333333,12.533333333333333,27.46666666666667,30.266666666666666,24.03333333333333,6.8,35.4
2014,7,1,181.0,0.0,0.0,0.0,0.0,28.5,32.46666666666667,26.133333333333336,5.0,26.400000000000002
2014,7,2,182.0,0.0,0.0,0.0,0.0,28.866666666666664,31.866666666666664,25.96666666666667,6.133333333333333,29.5
2014,7,3,183.0,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,28.733333333333334,31.433333333333334,26.233333333333334,5.466666666666666,27.96666666666667
2014,7,4,184.0,6.8,6.2,6.533333333333334,6.533333333333334,28.633333333333336,30.53333333333333,26.2,5.7,33.5
2014,7,5,185.0,20.666666666666668,12.066666666666665,19.0,20.599999999999998,27.766666666666666,30.166666666666668,23.599999999999998,5.833333333333333,45.73333333333333
2014,7,6,186.0,0.7333333333333334,0.6,0.6666666666666666,0.6666666666666666,28.833333333333332,31.53333333333333,26.400000000000002,5.566666666666666,32.03333333333333
2014,7,7,187.0,11.466666666666667,8.133333333333333,10.0,10.666666666666666,28.46666666666667,31.666666666666668,24.0,6.333333333333333,41.53333333333334
2014,7,8,188.0,19.466666666666665,16.933333333333334,18.666666666666668,19.0,28.133333333333336,31.3,22.96666666666667,6.8,40.93333333333333
2014,7,9,189.0,11.0,8.933333333333334,9.8,10.333333333333334,27.599999999999998,29.099999999999998,23.3,7.2,50.9
